"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.819527154E0,6.437197328E-1,1.243395805E0,1.002620697E0,1.722108151E0
1.829610769E0,1.099754095E0,1.548870564E0,-2.787318230E-1,1.919935030E0
1.839554154E0,1.073463202E0,1.514835358E0,-2.551460266E-1,1.874072811E0
1.849526923E0,1.149686098E0,1.565711975E0,-2.202968597E-1,1.954932945E0
1.859775308E0,1.130468965E0,1.539981842E0,-2.020215988E-1,1.921019750E0
1.869617692E0,1.076874614E0,9.577236176E-1,7.174644470E-1,1.609859837E0
1.879636692E0,1.065690279E0,9.542875290E-1,7.195677757E-1,1.601292679E0
1.889520154E0,9.499166608E-1,2.644467354E-1,2.196749687E0,2.407900107E0
1.899527692E0,8.624132872E-1,-5.697994232E-1,3.255938530E0,3.416074322E0
1.909521308E0,8.587168455E-1,-5.302200317E-1,3.226667881E0,3.380815511E0
1.919720769E0,7.088111639E-1,-9.672646523E-1,2.941226959E0,3.176291895E0
1.929518462E0,7.071838379E-1,-9.328942299E-1,2.916377544E0,3.142556063E0
1.939517077E0,8.105294704E-1,-9.434657097E-1,1.539689541E0,1.979325504E0
1.949521154E0,8.087428808E-1,-9.303836823E-1,1.530296803E0,1.965066703E0
1.959925308E0,7.894169092E-1,-7.854404449E-1,4.349803925E-2,1.114445076E0
1.969617769E0,4.475107193E-1,-7.000303268E-1,-3.371124268E-1,8.966343127E-1
1.979546923E0,4.581933618E-1,-7.075557709E-1,-3.313202858E-1,9.057314489E-1
1.989635539E0,7.733643055E-1,-6.364192963E-1,-4.409971237E-1,1.094349274E0
1.999528692E0,7.848790884E-1,-6.418018341E-1,-4.366559982E-1,1.103908166E0
2.009517692E0,9.563778043E-1,-6.734127998E-1,7.806396484E-2,1.172278673E0
2.019518539E0,1.013882160E0,-6.844191551E-1,2.650279999E-1,1.251649494E0
2.029515615E0,1.008611560E0,-6.785445213E-1,2.605929375E-1,1.243233134E0
2.039525539E0,1.183283448E0,-6.571059227E-1,-2.271790504E-1,1.372427861E0
2.049619077E0,1.174087286E0,-6.546669006E-1,-2.293066978E-1,1.363690312E0
2.060373077E0,1.042935133E0,-6.369524002E-1,-3.118629456E-1,1.261221847E0
2.069535539E0,1.034901857E0,-6.356310844E-1,-3.131251335E-1,1.254231270E0
2.079569385E0,9.820033908E-1,-6.189208031E-1,-3.996119499E-1,1.227633223E0
2.089547539E0,9.861487746E-1,-5.918536186E-1,-5.586333275E-1,1.278613040E0
2.099526539E0,9.780406952E-1,-5.908250809E-1,-5.596661568E-1,1.272345898E0
2.109571154E0,8.674081564E-1,-4.203157425E-1,-6.815552711E-1,1.180499818E0
2.120866692E0,8.615282774E-1,-4.211926460E-1,-6.811375618E-1,1.176257878E0
2.129531462E0,8.096040487E-1,-2.355852127E-1,-7.786016464E-1,1.147684465E0
2.139528385E0,9.949867725E-1,-1.695241928E-1,-6.976952553E-1,1.226994620E0
2.149531462E0,9.885643721E-1,-1.726055145E-1,-6.957073212E-1,1.221090029E0
2.159572385E0,1.255189776E0,-1.807203293E-1,-7.547521591E-1,1.475741181E0
2.169550231E0,1.243802428E0,-1.832242012E-1,-7.533149719E-1,1.465639463E0
2.179542000E0,1.339749932E0,-2.120995522E-1,-7.053294182E-1,1.528857642E0
2.189580769E0,1.327759266E0,-2.135958672E-1,-7.045941353E-1,1.518229481E0
2.199521462E0,1.596372128E0,-1.777739525E-1,-7.660803795E-1,1.779574864E0
2.209528154E0,1.505263925E0,-2.067461014E-1,-4.554028511E-1,1.586176280E0
2.219534923E0,1.495723128E0,-2.045192719E-1,-4.572224617E-1,1.577361147E0
2.229524077E0,1.471112728E0,-2.943129539E-1,-3.294029236E-1,1.536000996E0
2.239518000E0,1.464469910E0,-2.899317741E-1,-3.326768875E-1,1.529511838E0
2.249516462E0,1.227333665E0,-1.211090088E-1,-4.317574501E-1,1.306686578E0
2.259555846E0,1.225606441E0,-1.190237999E-1,-4.332814217E-1,1.305377572E0
2.270048846E0,1.067225218E0,4.383897781E-2,-4.355125427E-1,1.153500193E0
2.279945000E0,1.006421924E0,1.581950188E-1,-5.334205627E-1,1.149977499E0
2.289526154E0,1.007557869E0,1.571140289E-1,-5.326261520E-1,1.150455690E0
2.299540231E0,1.013171077E0,3.302330971E-1,-6.935358047E-1,1.271440695E0
2.309536769E0,1.014839649E0,3.269715309E-1,-6.911706924E-1,1.270640320E0
2.319946692E0,1.162749767E0,3.897781372E-1,-8.701753616E-1,1.503701825E0
2.329517154E0,9.711726308E-1,3.990445137E-1,-4.132108688E-1,1.128342158E0
2.339767846E0,9.706899524E-1,3.984956741E-1,-4.128284454E-1,1.127592618E0
2.349595077E0,9.850369692E-1,4.133620262E-1,-2.767462730E-1,1.103519141E0
2.359554539E0,9.861977100E-1,4.139986038E-1,-2.771773338E-1,1.104901824E0
2.369528000E0,8.717990518E-1,6.034393311E-1,-4.332885742E-1,1.145387097E0
2.380449846E0,8.757166862E-1,5.995078087E-1,-4.303860664E-1,1.145216789E0
2.389609154E0,8.556407690E-1,7.466077805E-1,-6.401309967E-1,1.303576617E0
2.399519615E0,9.822924733E-1,7.320761681E-1,-4.361629486E-1,1.300412295E0
2.410421000E0,9.781078696E-1,7.280321121E-1,-4.333453178E-1,1.294030110E0
2.420166154E0,1.078877091E0,7.099599838E-1,-1.387066841E-1,1.298945149E0
2.429893385E0,1.070745707E0,7.092695236E-1,-1.383762360E-1,1.291784660E0
2.439539077E0,8.303010464E-1,7.848796844E-1,1.480774879E-1,1.152112360E0
2.449524769E0,8.256291747E-1,7.854952812E-1,1.475458145E-1,1.149102318E0
2.459566308E0,8.636338711E-1,7.845602036E-1,4.004616737E-1,1.233599501E0
2.471545846E0,6.463023424E-1,8.429145813E-1,8.034820557E-1,1.331839000E0
2.479565769E0,6.505757570E-1,8.412871361E-1,8.047323227E-1,1.333644245E0
2.489519231E0,4.011645913E-1,1.005425930E0,1.239239216E0,1.645456825E0
2.499661769E0,4.120008349E-1,1.002466202E0,1.241596699E0,1.648103618E0
2.510252308E0,4.841426611E-1,1.292004108E0,1.146507263E0,1.793919629E0
2.519566385E0,6.548568010E-1,1.565283775E0,1.183788300E0,2.068889911E0
2.529567615E0,6.585214138E-1,1.556385994E0,1.190328598E0,2.067092157E0
2.539618077E0,8.028043509E-1,1.347539902E0,1.364359379E0,2.078902385E0
2.549535692E0,7.972070575E-1,1.346621513E0,1.364888191E0,2.076499065E0
2.559522615E0,3.303073049E-1,9.233202934E-1,1.852548122E0,2.096081541E0
2.569526615E0,3.297374249E-1,9.366850853E-1,1.842853069E0,2.093373630E0
2.580437615E0,-1.383789629E-1,4.221720695E-1,2.570064068E0,2.608180842E0
2.589586154E0,-8.766254783E-1,-1.187620163E-1,3.498854160E0,3.608955123E0
2.600252846E0,-8.645521402E-1,-7.358884811E-2,3.467310905E0,3.574228677E0
2.609545154E0,-1.403476357E0,-5.209522247E-1,3.663249016E0,3.957338810E0
2.619549539E0,-1.384914994E0,-4.727883339E-1,3.630697250E0,3.914521794E0
2.629525231E0,-1.746601820E0,-8.463525772E-1,2.971054077E0,3.548815708E0
2.640086000E0,-1.664249301E0,-8.603763580E-1,1.238481522E0,2.245842758E0
2.649527154E0,-1.632820845E0,-8.533401489E-1,1.235013962E0,2.218006494E0
2.659679846E0,-1.112894058E0,-8.213696480E-1,-7.011637688E-1,1.550745599E0
2.669538923E0,-1.093643427E0,-8.321809769E-1,-6.929945946E-1,1.539097993E0
2.679522923E0,-1.028742194E0,-8.510532379E-1,-1.161756516E0,1.769824940E0
2.690749615E0,-1.023474216E0,-8.578305244E-1,-1.156911850E0,1.766866636E0
2.699559769E0,-4.228580892E-1,-7.688341141E-1,-7.976737022E-1,1.185832279E0
2.709528385E0,-1.847461760E-1,-5.505437851E-1,-9.089336395E-1,1.078605567E0
