"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.780552154E0,7.084447145E-1,1.646220684E0,7.632141113E-1,1.947930244E0
1.789994615E0,7.049279213E-1,1.654287815E0,7.592935562E-1,1.951952421E0
1.799980307E0,1.108509302E0,1.967847347E0,1.530174255E0,2.728121938E0
1.812220154E0,8.295229673E-1,1.980756760E0,3.461991310E0,4.073928022E0
1.819975769E0,8.275883198E-1,2.001100540E0,3.452254295E0,4.075213555E0
1.829976461E0,1.562947631E-1,2.230242252E0,4.894320488E0,5.380778902E0
1.839974769E0,1.629617810E-1,2.257573605E0,4.881462097E0,5.380693945E0
1.850018077E0,3.166090697E-2,2.559852600E0,5.290056229E0,5.876950115E0
1.860503692E0,3.337860107E-2,2.577020168E0,5.282075882E0,5.877284467E0
1.869982461E0,1.537852585E-1,2.430496693E0,4.993923187E0,5.556098710E0
1.879992461E0,1.532817334E-1,2.433304310E0,4.992619514E0,5.556142076E0
1.889991384E0,6.934621930E-2,2.026143551E0,3.984910011E0,4.470970184E0
1.900291154E0,1.818350255E-1,1.465066910E0,3.264182091E0,3.582508862E0
1.909981692E0,1.961936653E-1,1.452049255E0,3.270369530E0,3.583609334E0
1.920054154E0,2.962789536E-1,7.063388824E-1,2.385580063E0,2.505531495E0
1.930245154E0,3.101454675E-1,7.006316185E-1,2.388408661E0,2.508300382E0
1.939988692E0,-8.258149773E-2,5.895996094E-2,2.981187820E0,2.982914146E0
1.949987077E0,-1.250648856E0,-7.341094017E-1,3.671763420E0,3.947769723E0
1.959972769E0,-1.214324713E0,-6.965212822E-1,3.655010223E0,3.913927201E0
1.970038231E0,-1.903692484E0,-1.352937698E0,3.427196503E0,4.147307724E0
1.980026308E0,-1.852521062E0,-1.313088894E0,3.410550117E0,4.097302629E0
1.990185000E0,-2.407283545E0,-1.471059322E0,1.669818878E0,3.278311254E0
2.000039231E0,-2.356604815E0,-1.446731806E0,1.660967827E0,3.225745385E0
2.010281077E0,-1.659202933E0,-1.388548374E0,8.871650696E-2,2.165384857E0
2.019979846E0,-5.987753868E-1,-1.340811491E0,-4.100360870E-1,1.524610446E0
